PID,barcode,proname,uom,Category,Packing,Packingqty,Type,Comp Name,Pur Price,Sale Price
1075,,Pizza Sauce 500 g,,,,,,Tariq Super Stot,185.00,230.00
2005,,Pladough home,,,,,,Tariq Super Stot,175.00,200.00
1790,,Plain Paratha Menu 20 Pcs,,,,,,Tariq Super Stot,719.00,890.00
1788,,Plain Paratha Menu 30 Pcs,,,,,,Tariq Super Stot,607.66,850.00
1789,,Plain Paratha Menu 5 Pcs,,,,,,Tariq Super Stot,191.80,250.00
1222,,Plastic Scale 30 CM large,,,,,,Tariq Super Stot,24.16,50.00
2081,,Plate Disposible,,,,,,Tariq Super Stot,3.50,10.00
1725,,Platinum Blue,,,,,,Tariq Super Stot,115.00,120.00
2003,,Playdough,,,,,,Tariq Super Stot,140.00,170.00
2095,,Playdough Jar,,,,,,Tariq Super Stot,45.00,70.00
1101,,Pocket Tissue,,,,,,Tariq Super Stot,16.00,20.00
1345,,Polac Condensed Milk 1 Kg,,,,,,Tariq Super Stot,690.00,750.00
1346,,Polac Condensed Milk 375 Ml,,,,,,Tariq Super Stot,300.00,400.00
2302,,Polac Fruit Cocktail,,,,,,Tariq Super Stot,305.00,400.00
1304,,Polish Brush,,,,,,Tariq Super Stot,85.00,100.00
2007,,Polish Brush Plastic,,,,,,Tariq Super Stot,30.00,70.00
1733,,Poly Color,,,,,,Tariq Super Stot,170.00,210.00
849,,Pom Poms Pouch Rs 50,,,,,,Tariq Super Stot,42.00,50.00
1045,,Ponds Face wash Bright Beauty 100 g,,,,,,Tariq Super Stot,359.66,450.00
1044,,Ponds Face wash Pure Detos 100 g,,,,,,Tariq Super Stot,395.40,450.00
1431,,Ponds Lotion 100 Ml,,,,,,Tariq Super Stot,220.66,240.00
1667,,Ponds Lotion 200 Ml,,,,,,Tariq Super Stot,414.00,450.00
1430,,Ponds Lotion 65 Ml,,,,,,Tariq Super Stot,91.03,100.00
1433,,Ponds Pure Detox Fw 50 g,,,,,,Tariq Super Stot,242.84,280.00
2217,,Pop Corn 200gm,,,,,,Tariq Super Stot,74.00,150.00
1793,,Pop Corn Menu 260 G,,,,,,Tariq Super Stot,411.00,480.00
1792,,Pop Corn Menu 780 G,,,,,,Tariq Super Stot,920.00,"1,190.00"
1941,,PopCorn Fish Menu 500 G,,,,,,Tariq Super Stot,831.00,920.00
2273,,popnosh Caramel crunch  100/,,,,,,Tariq Super Stot,92.00,100.00
2274,,popnosh Caramel crunch 50/,,,,,,Tariq Super Stot,44.50,50.00
2276,,popnosh Chedder cheese,,,,,,Tariq Super Stot,35.00,40.00
2277,,popnosh Chip sticks,,,,,,Tariq Super Stot,115.00,130.00
2279,,popnosh Cpopcorn Jar,,,,,,Tariq Super Stot,260.00,280.00
2280,,popnosh English toffee,,,,,,Tariq Super Stot,45.00,50.00
2275,,popnosh Movie Theater 80/,,,,,,Tariq Super Stot,72.00,80.00
2278,,popnosh Spicy Jalapeno  40/-,,,,,,Tariq Super Stot,35.00,40.00
89698,,Popular Real Froot,,,,,,Tariq Super Stot,141.67,170.00
1224,,Poster Colours Rainbow,,,,,,Tariq Super Stot,16.67,30.00
1717,,Power Full 250 Ml,,,,,,Tariq Super Stot,130.00,160.00
1479,,Power Plus Cell Rs 30,,,,,,Tariq Super Stot,24.59,30.00
1400,,Power Plus Cell Sinle 20,,,,,,Tariq Super Stot,15.84,20.00
1258,,Power Plus d size cell,,,,,,Tariq Super Stot,102.10,120.00
2140,,Power Plus Shoe Shine,,,,,,Tariq Super Stot,138.00,165.00
1513,,Prime Maap,,,,,,Tariq Super Stot,280.00,550.00
2177,,Prince Chocolate Coverd,,,,,,Tariq Super Stot,17.10,20.00
2168,,Prince Finger Rs 20,,,,,,Tariq Super Stot,16.80,20.00
2286,,Prince mini choclate 10,,,,,,Tariq Super Stot,9.18,10.00
2016,,Prince Rs 7,,,,,,Tariq Super Stot,5.00,7.00
1910,,Prince Rs.30,,,,,,Tariq Super Stot,26.90,30.00
1557,,Prince TP rs 5,,,,,,Tariq Super Stot,4.45,5.00
2102,,Princes Doll,,,,,,Tariq Super Stot,170.00,250.00
1765,,Prix Chew Star Rs 10,,,,,,Tariq Super Stot,9.37,10.00
2055,,Puffs Candyland,,,,,,Tariq Super Stot,8.62,10.00
1162,,Pure Black Body Spray 200 Ml,,,,,,Tariq Super Stot,550.00,630.00
827,,Pure Life Nestle 5 ltr,,,,,,Tariq Super Stot,231.00,250.00
1227,,Qalum Marker 405,,,,,,Tariq Super Stot,24.00,40.00
1987,,Quorma/Fish/Achar Gosht Recipe mix 100 g,,,,,,Tariq Super Stot,168.00,190.00
2114,,rabbit git,,,,,,Tariq Super Stot,230.00,340.00
1123,,Racket Victor,,,,,,Tariq Super Stot,600.00,700.00
1122,,Racket Ws,,,,,,Tariq Super Stot,440.00,500.00
1742,,Rafhan Corn Oil 3 Ltr Bottle,,,,,,Tariq Super Stot,"3,032.90","3,350.00"
1023,,Rafhan Corn OIL 3 Ltr Teen,,,,,,Tariq Super Stot,"3,700.00","3,900.00"
1022,,Rafhan Cornflour 275g,,,,,,Tariq Super Stot,151.00,160.00
1034,,Rafhan Custard  banana 275 g,,,,,,Tariq Super Stot,178.00,190.00
1672,,Rafhan Ice Cream Powder Vanilla,,,,,,Tariq Super Stot,179.00,190.00
1036,,Rafhan Jelly Banana 80 g,,,,,,Tariq Super Stot,143.00,160.00
1037,,Rafhan Jelly mango 80 g,,,,,,Tariq Super Stot,150.92,160.00
1035,,Rafhan Jelly Strawberry 80 g,,,,,,Tariq Super Stot,150.91,160.00
1349,,Rafhan Mango Custard 275 G,,,,,,Tariq Super Stot,179.16,190.00
1040,,Rafhan Pudding,,,,,,Tariq Super Stot,149.66,160.00
1873,,Rahfan Corn Oil 1 ltr,,,,,,Tariq Super Stot,"1,141.00","1,210.00"
845,,Rani Peach Teen pack,,,,,,Tariq Super Stot,100.00,120.00
1378,,Rasily Supari Rs 5,,,,,,Tariq Super Stot,4.37,5.00
1505,,Rawanh 500 G,,,,,,Tariq Super Stot,155.00,170.00
1193,,Real Froot Juce,,,,,,Tariq Super Stot,23.00,30.00
871,,Real Froot juice Mango 250 ml,,,,,,Tariq Super Stot,70.00,90.00
1716,,Red Bull 250 Ml,,,,,,Tariq Super Stot,366.67,430.00
997,,Red Capsten,,,,,,Tariq Super Stot,214.00,220.00
1163,,Red Chilli Sauce 300 Ml,,,,,,Tariq Super Stot,170.00,210.00
2225,,Red Fruit Yellow Fruit 175 g,,,,,,Tariq Super Stot,355.14,370.00
1183,,Register 100,,,,,,Tariq Super Stot,75.00,100.00
1472,,Register Rs 150,,,,,,Tariq Super Stot,120.00,150.00
1708,,Register Rs 200,,,,,,Tariq Super Stot,160.00,200.00
1931,,Regster  Rs 200/-,,,,,,Tariq Super Stot,160.00,200.00
2105,,Remote Car,,,,,,Tariq Super Stot,390.00,550.00
1631,,Revlon color Silk 30,,,,,,Tariq Super Stot,540.00,590.00
2192,,Rewari Peanut Rs 100/-,,,,,,Tariq Super Stot,80.00,100.00
2191,,Rewari Rs 100/-,,,,,,Tariq Super Stot,80.00,100.00
2053,,Rice  Dubble steem 1 kg,,,,,,Tariq Super Stot,330.00,380.00
1649,,Rice Flour 300 G Food Net,,,,,,Tariq Super Stot,150.00,170.00
806,,Rice kainat 1kg,,,,,,Tariq Super Stot,310.00,340.00
807,,Rice kainat 2kg,,,,,,Tariq Super Stot,500.00,680.00
805,,Rice Kainat Totta 500g,,,,,,Tariq Super Stot,90.00,110.00
1954,,Rice Sultan,,,,,,Tariq Super Stot,275.00,300.00
970,,Rigistar 01,,,,,,Tariq Super Stot,75.00,100.00
888,,Rio Double Choclate 10,,,,,,Tariq Super Stot,9.08,10.00
898,,Rio Half Rool 30,,,,,,Tariq Super Stot,22.78,30.00
1245,,Rio Snack Pack 10,,,,,,Tariq Super Stot,9.00,10.00
1772,,Rio Strawberry RS 20,,,,,,Tariq Super Stot,18.10,20.00
2236,,Rio Strawbery Rs 15,,,,,,Tariq Super Stot,13.00,15.00
2237,,Rio Strawbery Rs 25,,,,,,Tariq Super Stot,22.00,25.00
2238,,Rio Strawbery Rs 40,,,,,,Tariq Super Stot,36.00,40.00
1624,,Rio Ticky Pack Rs 5,,,,,,Tariq Super Stot,4.58,5.00
1516,,Rite Bisconi Rs 10,,,,,,Tariq Super Stot,6.75,10.00
1172,,Rite Bisconi Rs 30,,,,,,Tariq Super Stot,27.00,30.00
1630,,Rite Rs. 20,,,,,,Tariq Super Stot,18.34,20.00
1820,,Rite Salt,,,,,,Tariq Super Stot,59.64,65.00
1237,,Robin Bleach Large,,,,,,Tariq Super Stot,443.00,450.00
1136,,Robin Bliech,,,,,,Tariq Super Stot,381.16,395.00
1140,,Robin Neel 75ml,,,,,,Tariq Super Stot,198.00,230.00
1300,,Rollies Cakes Rs.25,,,,,,Tariq Super Stot,32.50,35.00
295,,Rooh Afza 750 ml,,,,,,Tariq Super Stot,295.00,330.00
1527,,Rose Petal Deluxe Tissue,,,,,,Tariq Super Stot,227.22,300.00
1588,,Rose Petal Maxob Tissue Roll,,,,,,Tariq Super Stot,102.52,120.00
1520,,Rose Petal Multi color Tissue,,,,,,Tariq Super Stot,288.75,340.00
1523,,Rose Petal Party Pack Pink,,,,,,Tariq Super Stot,193.66,225.00
1524,,Rose Petal Party Pack White,,,,,,Tariq Super Stot,216.40,250.00
1521,,Rose Petal Perfumed Tissue,,,,,,Tariq Super Stot,174.58,200.00
1519,,Rose Petal Pop up Smart Tissue,,,,,,Tariq Super Stot,75.00,85.00
1518,,Rose Petal Pop up Urtra Soft Tissue,,,,,,Tariq Super Stot,194.70,230.00
1522,,Rose Petal Zoop Rool,,,,,,Tariq Super Stot,243.66,285.00
990,,Rose Water120 ml,,,,,,Tariq Super Stot,83.00,100.00
202,,Roveeza Larg,,,,,,Tariq Super Stot,240.00,280.00
201,,Roveeza Samall,,,,,,Tariq Super Stot,160.00,190.00
851,,Sabit Dhania 100 g,,,,,,Tariq Super Stot,59.00,70.00
841,,Sabit Mirch 100 G,,,,,,Tariq Super Stot,50.00,60.00
1777,,Sabun Dani,,,,,,Tariq Super Stot,60.00,80.00
986,,SAFI  175ml,,,,,,Tariq Super Stot,80.00,90.00
865,,Sago Dana 250 g,,,,,,Tariq Super Stot,120.00,140.00
2004,,Salaim 300 ml,,,,,,Tariq Super Stot,185.00,220.00
2006,,Salaim Bottle,,,,,,Tariq Super Stot,175.00,200.00
2063,,Salva 50,,,,,,Tariq Super Stot,45.00,50.00
1695,,Salva Nimkomix RS 20,,,,,,Tariq Super Stot,16.25,20.00
2156,,Salva rs 100,,,,,,Tariq Super Stot,83.33,100.00
1477,,Samad Bond Tube,,,,,,Tariq Super Stot,62.00,90.00
1803,,Samosa Menu 240 g,,,,,,Tariq Super Stot,403.00,480.00
1784,,Samosa Menu 480 g,,,,,,Tariq Super Stot,766.67,840.00
89658,,Samosa patti,,,,,,Tariq Super Stot,120.00,150.00
89750,,Samsol Shaving Cream,,,,,,Tariq Super Stot,115.00,140.00
253,,Sandal Cream,,,,,,Tariq Super Stot,204.28,250.00
2209,,Sandwich Bread Dawn,,,,,,Tariq Super Stot,180.00,200.00
1821,,Sanfanaz Achar Rs 10,,,,,,Tariq Super Stot,9.16,10.00
2129,,Sanfaz Mixed Pickle 400 g,,,,,,Tariq Super Stot,188.00,250.00
879,,Saonf 100 g,,,,,,Tariq Super Stot,80.00,110.00
1344,,Sasoo Olive Oil 200 Ml,,,,,,Tariq Super Stot,"1,050.00","1,150.00"
1343,,Sasso Olive Oil 100 Ml,,,,,,Tariq Super Stot,580.00,650.00
2142,,Sathi,,,,,,Tariq Super Stot,48.33,60.00
967,,Scale 15 cm,,,,,,Tariq Super Stot,15.00,20.00
966,,Scale 30 cm,,,,,,Tariq Super Stot,26.70,40.00
1145,,Scale 6 inch,,,,,,Tariq Super Stot,8.00,20.00
1168,,Scotch Brite,,,,,,Tariq Super Stot,67.84,80.00
1366,,Scotch Brite Econmy Pack,,,,,,Tariq Super Stot,150.00,170.00
1360,,Scotch Brite Gloves,,,,,,Tariq Super Stot,180.00,220.00
1368,,Scotch Brite Nail Saver,,,,,,Tariq Super Stot,112.00,130.00
1365,,Scotch Brite Reguar Pad,,,,,,Tariq Super Stot,29.10,40.00
1367,,Scotch Brite Regular Foam,,,,,,Tariq Super Stot,63.33,80.00
1512,,Scotch Brite Steel Sponge,,,,,,Tariq Super Stot,63.33,80.00
1637,,Season Fruit cockatail 836 G,,,,,,Tariq Super Stot,550.00,570.00
1778,,Seekh Kabab Menu 245 G,,,,,,Tariq Super Stot,487.00,560.00
1779,,Seekh Kabab Menu 540 G,,,,,,Tariq Super Stot,944.50,"1,120.00"
2267,,Sensodyne Original 100 G,,,,,,Tariq Super Stot,230.00,250.00
1912,,Sensodyne Rapid Action 100 G,,,,,,Tariq Super Stot,340.00,385.00
1573,,Sessor Large Rs 50,,,,,,Tariq Super Stot,100.00,130.00
1119,,Sessor small,,,,,,Tariq Super Stot,38.00,50.00
2149,,Shahbaz mirch powder 200 G,,,,,,Tariq Super Stot,120.00,150.00
89644,,Shahi Kulfi Rs 40,,,,,,Tariq Super Stot,51.62,60.00
2324,,Shahi Mango Omore 800 Ml,,,,,,Tariq Super Stot,515.10,600.00
1137,,Shahi Meva Rs.10,,,,,,Tariq Super Stot,8.80,10.00
1138,,Shahi Meva Rs.5,,,,,,Tariq Super Stot,4.13,5.00
1039,,Shahi Nimko Rs 100/-,,,,,,Tariq Super Stot,85.00,100.00
981,,Shahi Tukra Laziza,,,,,,Tariq Super Stot,200.00,210.00
1199,,Shami Kabab Large K &N,,,,,,Tariq Super Stot,920.00,"1,060.00"
1785,,Shami Kabab Menu 400 G,,,,,,Tariq Super Stot,572.00,640.00
1786,,Shami Kabab Menu 700 G,,,,,,Tariq Super Stot,984.00,"1,100.00"
1200,,Shami Kabab Small,,,,,,Tariq Super Stot,390.00,490.00
89707,,Shampoo Sasha Mix,,,,,,Tariq Super Stot,9.12,10.00
214,,Shan Masla Mix,,,,,,Tariq Super Stot,68.00,80.00
1080,,Shangrila Chili Sauce,,,,,,Tariq Super Stot,105.00,130.00
1738,,Shangrila Ketchup 1 kg,,,,,,Tariq Super Stot,220.00,250.00
2268,,Shangrila Lemon Juice,,,,,,Tariq Super Stot,160.00,210.00
1077,,Shangrila Peri Peri hot,,,,,,Tariq Super Stot,140.00,155.00
1116,,Sharpener First,,,,,,Tariq Super Stot,10.33,30.00
1413,,Shaving Foam 400 Ml,,,,,,Tariq Super Stot,180.00,300.00
2017,,Shawarma Bread Medium,,,,,,Tariq Super Stot,85.00,100.00
993,,Sheer khurma Mix,,,,,,Tariq Super Stot,204.20,220.00
1756,,Sheesha Beauty Cream,,,,,,Tariq Super Stot,210.00,250.00
1120,,Sheet Packet,,,,,,Tariq Super Stot,82.35,100.00
1591,,Sheet Packet Rs 50,,,,,,Tariq Super Stot,38.00,50.00
2198,,Sheet Paper 1 Kg,,,,,,Tariq Super Stot,300.00,350.00
2207,,Sheet Paper 500 G,,,,,,Tariq Super Stot,162.50,190.00
1473,,Shehnaz Haldi 100 G,,,,,,Tariq Super Stot,35.00,80.00
1515,,Sheild Baby Sother,,,,,,Tariq Super Stot,58.83,70.00
89696,,Sheild Brush Anti Bac,,,,,,Tariq Super Stot,103.34,130.00
1548,,Sheild Feader 250 Ml,,,,,,Tariq Super Stot,195.00,230.00
1514,,Sheild Nipple,,,,,,Tariq Super Stot,81.00,90.00
297,,Shrbat  Badam,,,,,,Tariq Super Stot,250.00,300.00
1131,,Shuttle Cock Plastic,,,,,,Tariq Super Stot,175.00,200.00
1133,,Shuutle Cocks 1,,,,,,Tariq Super Stot,85.00,100.00
1827,,Signal Easy Clean Rs 70,,,,,,Tariq Super Stot,40.00,70.00
1157,,Signal Gum Care,,,,,,Tariq Super Stot,85.00,100.00
1566,,Sika Pencil 50,,,,,,Tariq Super Stot,35.00,50.00
2206,,Silk Choclate Rs 20,,,,,,Tariq Super Stot,16.67,20.00
237,,Single Bear,,,,,,Tariq Super Stot,190.00,250.00
1670,,Skin White Soap 110 g,,,,,,Tariq Super Stot,98.00,120.00
